nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1509472929095299;177194474660_10155196951854661;62562538918_10155262031518919;29396596956_10154298616406957;111236060676_10154497084300677;118231518201711_1504411996250316;178913512122277_1587361401277474;170815382956921_1862372477134528;149845148361826_1447345061945155;38916537049_10154218700657050;193485802047_10155179233027048;536723559736207_1444584825616738
143694099006529_1509463539096238;177194474660_10155196654389661;62562538918_10155261961313919;29396596956_10154298609141957;111236060676_10154497073200677;118231518201711_1504379032920279;178913512122277_1586875011326113;170815382956921_1859346170770492;149845148361826_1447240995288895;38916537049_10154201984502050;193485802047_10155179230917048;536723559736207_1444547428953811
143694099006529_1509448039097788;177194474660_10155196691074661;62562538918_10155261897028919;29396596956_10154298601271957;111236060676_10154496905495677;118231518201711_1503915606299955;178913512122277_1586806837999597;170815382956921_1862270147144761;149845148361826_1447201618626166;38916537049_10154201980797050;193485802047_10155179229537048;536723559736207_1444478065627414
143694099006529_1509412142434711;177194474660_10155196745414661;62562538918_10155261781238919;29396596956_10154298292576957;111236060676_10154496853895677;118231518201711_1503790459645803;178913512122277_1586245968055684;170815382956921_1861866603851782;149845148361826_1447124088633919;38916537049_10154201975197050;193485802047_10155176089587048;536723559736207_1444432342298653
143694099006529_1509402952435630;177194474660_10155196566819661;62562538918_10155261733738919;29396596956_10154298291531957;111236060676_10154495207040677;118231518201711_1503821296309386;178913512122277_1586025401411074;170815382956921_1861648627206913;149845148361826_1447120188634309;38916537049_10154201966167050;193485802047_10155176088137048;536723559736207_1443949915680229
143694099006529_1509394222436503;177194474660_10155196631574661;62562538918_10155261588473919;29396596956_10154291686871957;111236060676_10154495199655677;118231518201711_1503644706327045;178913512122277_1585996948080586;170815382956921_1861688790536230;149845148361826_1447037428642585;38916537049_10154201970587050;193485802047_10155176087267048;536723559736207_1443888082353079
143694099006529_1509385075770751;177194474660_10155196288434661;62562538918_10155261492348919;29396596956_10154296280316957;111236060676_10154494831830677;118231518201711_1503681782990004;178913512122277_1585891008091180;170815382956921_1861499450555164;149845148361826_1447035731976088;38916537049_10154204182932050;193485802047_10155173636932048;536723559736207_1441095355965685
143694099006529_1509376525771606;177194474660_10155196300749661;62562538918_10155261382563919;29396596956_10154291664016957;111236060676_10154492311845677;118231518201711_1503637702994412;178913512122277_1585825478097733;170815382956921_1861250837246692;149845148361826_1447045825308412;38916537049_10154204127402050;193485802047_10155168548512048;536723559736207_1443451649063389
143694099006529_1509376309104961;177194474660_10155196305909661;62562538918_10155261328408919;29396596956_10154291660926957;111236060676_10154492289310677;118231518201711_1503556296335886;178913512122277_1585756614771286;170815382956921_1861146907257085;149845148361826_1446373952042266;38916537049_10154201957357050;193485802047_10155168547537048;536723559736207_1443387465736474
143694099006529_1509318345777424;177194474660_10155196368219661;62562538918_10155261265658919;29396596956_10154291658851957;111236060676_10154492113470677;118231518201711_1503482086343307;178913512122277_1585358408144440;170815382956921_1859323007439475;149845148361826_1447012928645035;38916537049_10154201951597050;193485802047_10155165312302048;536723559736207_1443385729069981
